TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,Latitude,Longitude,Location
236813,DPW Maintained,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,207 Carl St,1.0,Sidewalk: Curb side : Cutout,37.76531071043578,-122.45312816922817,"(37.765310710435784, -122.45312816922817)"
138104,DPW Maintained,Prunus cerasifera :: Cherry Plum,1826 BUCHANAN ST,5.0,Sidewalk: Curb side : Cutout,37.787068535708265,-122.4300137098642,"(37.787068535708265, -122.4300137098642)"
32468,DPW Maintained,Prunus cerasifera :: Cherry Plum,120 Corbett Ave,1.0,Sidewalk: Curb side : Cutout,37.76175298344074,-122.44096521177092,"(37.76175298344074, -122.44096521177092)"
237844,DPW Maintained,Prunus cerasifera :: Cherry Plum,173 Addison St,19.0,Sidewalk: Curb side : Cutout,37.73828925484899,-122.43312318380406,"(37.73828925484899, -122.43312318380406)"
140866,DPW Maintained,Prunus cerasifera :: Cherry Plum,14 WOOD ST,2.0,Sidewalk: Curb side : Cutout,37.78377837517046,-122.4487525818252,"(37.78377837517046, -122.44875258182519)"
182231,DPW Maintained,Prunus cerasifera :: Cherry Plum,1422 31st Ave,1.0,Sidewalk: Curb side : Cutout,37.76063437307325,-122.48974499965496,"(37.76063437307325, -122.48974499965497)"
61242,Permitted Site,Prunus cerasifera :: Cherry Plum,3983 20th St,1.0,Sidewalk: Curb side : Cutout,37.75790797293414,-122.42985468740356,"(37.75790797293414, -122.42985468740356)"
235719,DPW Maintained,Prunus cerasifera :: Cherry Plum,575 Florida St,6.0,:,37.76212774083091,-122.41102870180698,"(37.76212774083091, -122.41102870180698)"
236710,DPW Maintained,Prunus cerasifera :: Cherry Plum,419 Jersey St,1.0,Sidewalk: Curb side : Cutout,37.75040536033426,-122.43456295702876,"(37.75040536033426, -122.43456295702876)"
113419,Undocumented,Prunus cerasifera :: Cherry Plum,598X BENTON AVE,2.0,Sidewalk: Curb side : Cutout,37.73385329917574,-122.41747548787944,"(37.73385329917574, -122.41747548787944)"
236304,DPW Maintained,Prunus cerasifera :: Cherry Plum,128 Bartlett St,1.0,Sidewalk: Curb side : Cutout,37.75445162630908,-122.41989266623646,"(37.75445162630908, -122.41989266623646)"
31744,DPW Maintained,Prunus cerasifera :: Cherry Plum,2435 21st Ave,1.0,Sidewalk: Curb side : Cutout,37.74226824042124,-122.4778591536156,"(37.74226824042124, -122.4778591536156)"
236404,DPW Maintained,Prunus cerasifera :: Cherry Plum,520 Belvedere St,2.0,Sidewalk: Curb side : Cutout,37.76305117730534,-122.44799592536933,"(37.76305117730534, -122.44799592536931)"
97422,Permitted Site,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,130 San Rafael Way,2.0,Sidewalk: Curb side : Cutout,37.73278518659343,-122.47057198103067,"(37.73278518659343, -122.47057198103067)"
